id;is_show;score;is_first;category_id;city_id;comment
1;true;10;true;48;1;comment
2;true;20;true;1031;1;comment
3;true;30;true;13;1;comment
4;true;40;false;1052;1;comment
5;true;50;false;61;1;comment
6;true;60;true;49;1;comment
7;true;70;true;47;1;comment
8;true;80;false;1053;1;comment
9;true;90;true;27;1;comment
10;true;100;false;1054;1;comment
11;true;110;false;62;1;comment
12;true;120;false;75;1;comment
13;true;140;false;1055;1;comment
14;true;10;false;1042;1;comment
15;true;10;false;1043;1;comment
16;true;10;false;1044;1;comment
17;true;10;false;1060;1;comment
18;true;10;false;1051;1;comment
19;true;10;false;15;1;comment
20;true;10;false;64;1;comment
21;true;10;false;1030;1;comment
22;true;10;false;1061;1;comment
23;true;10;false;32;1;comment
24;true;10;false;1059;1;comment
25;true;10;false;82;1;comment
26;true;10;false;1056;1;comment
27;true;10;false;48;2;comment
28;true;10;false;13;2;comment
29;true;10;false;1061;2;comment
30;true;10;false;1051;2;comment
31;true;10;false;1031;2;comment
32;true;10;false;82;2;comment
33;true;10;false;69;2;comment
34;true;10;false;1060;2;comment
35;true;10;false;61;2;comment
36;true;10;false;1052;2;comment
37;true;10;false;88;2;comment
38;true;10;false;58;2;comment
39;true;10;false;62;2;comment
40;true;10;false;1058;2;comment
41;true;10;false;1054;2;comment
42;true;10;false;47;2;comment
43;true;10;false;1057;2;comment
44;true;10;false;1056;2;comment
45;true;10;false;49;2;comment
46;true;10;false;1059;2;comment
47;true;10;false;48;3;comment
48;true;10;false;1061;3;comment
49;true;10;false;13;3;comment
50;true;10;false;61;3;comment
51;true;10;false;1052;3;comment
52;true;10;false;1031;3;comment
53;true;10;false;15;3;comment
54;true;10;false;1054;3;comment
55;true;10;false;27;3;comment
56;true;10;false;56;3;comment
57;true;10;false;1055;3;comment
58;true;10;false;48;4;comment
59;true;10;false;48;5;comment
60;true;10;false;48;6;comment
61;true;10;false;1057;6;comment
62;true;10;false;1055;6;comment
63;true;10;false;48;16;comment
64;true;10;false;48;7;comment
65;true;10;false;48;8;comment
66;true;10;false;48;9;comment
67;true;10;false;48;10;comment
68;true;10;false;1059;10;comment
69;true;10;false;48;11;comment
70;true;10;false;48;12;comment
71;true;10;false;48;13;comment
72;true;10;false;48;14;comment
73;true;10;false;48;15;comment
74;true;10;false;1055;15;comment
75;true;10;false;1057;15;comment
76;true;10;false;48;17;comment
77;true;10;false;48;18;comment
78;true;10;false;48;19;comment
79;true;10;false;49;19;comment
80;true;10;false;48;49;comment
81;true;10;false;53;20;comment
82;true;10;false;48;21;comment
83;true;10;false;48;25;comment
84;true;10;false;48;26;comment
85;true;10;false;48;27;comment
86;true;10;false;13;27;comment
87;true;10;false;1055;27;comment
88;true;10;false;48;31;comment
89;true;10;false;53;31;comment
90;true;10;false;48;28;comment
91;true;10;false;53;28;comment
92;true;10;false;1031;28;comment
93;true;10;false;48;32;comment
94;true;10;false;48;33;comment
95;true;10;false;53;29;comment
96;true;10;false;65;7;comment
97;true;10;false;48;30;comment
98;true;10;false;48;29;comment
99;true;10;false;48;34;comment
100;true;10;false;48;35;comment
101;true;10;false;48;6;comment
102;true;10;false;48;36;comment
103;true;10;false;48;37;comment
104;true;10;false;1061;5;comment
105;true;10;false;53;32;comment
106;true;10;false;48;39;comment
107;true;10;false;48;40;comment
108;true;10;false;48;41;comment
109;true;10;false;48;42;comment
110;true;10;false;48;43;comment
111;true;10;false;1057;1;comment
112;true;10;false;48;50;comment
113;true;10;false;1061;50;comment
114;true;10;false;48;51;comment
115;true;10;false;48;52;comment
116;true;10;false;48;53;comment
117;true;10;false;49;50;comment
118;true;10;false;61;50;comment
119;true;10;false;1060;50;comment
120;true;10;false;48;54;comment
121;true;10;false;49;50;comment
122;true;10;false;1054;50;comment
123;true;10;false;1054;51;comment
124;true;10;false;1006;50;comment
125;true;10;false;1054;50;comment
126;true;10;false;66;50;comment
127;true;10;false;1031;50;comment
128;true;10;false;69;50;comment
129;true;10;false;1061;51;comment
130;true;10;false;86;50;comment
131;true;10;false;41;50;comment
132;true;10;false;15;50;comment
133;true;10;false;48;55;comment
134;true;10;false;1055;50;comment
135;true;10;false;1058;50;comment
136;true;10;false;13;50;comment
137;true;10;false;1057;50;comment
138;true;10;false;1062;50;comment
139;true;10;false;62;50;comment
140;true;10;false;65;51;comment
141;true;10;false;1059;50;comment
142;true;10;false;1015;50;comment
143;true;10;false;48;56;comment
144;true;10;false;1031;59;comment
145;true;10;false;48;57;comment
146;true;10;false;1061;56;comment
147;true;10;false;1058;56;comment
148;true;10;false;56;59;comment
149;true;10;false;48;58;comment
150;true;10;false;48;59;comment
151;true;10;false;1054;59;comment
152;true;10;false;1057;56;comment
153;true;10;false;15;58;comment
154;true;10;false;1055;58;comment
155;true;10;false;1063;58;comment
156;true;10;false;1055;59;comment
157;true;10;false;62;56;comment
158;true;10;false;61;59;comment
159;true;10;false;1059;59;comment
160;true;10;false;47;59;comment
161;true;10;false;42;58;comment
162;true;10;false;1058;59;comment
163;true;10;false;1009;56;comment
164;true;10;false;58;59;comment
165;true;10;false;1062;59;comment
166;true;10;false;1054;56;comment
167;true;10;false;1061;56;comment
168;true;10;false;1032;59;comment
169;true;10;false;42;56;comment
170;true;10;false;1055;56;comment
171;true;10;false;1060;56;comment
172;true;10;false;1059;58;comment
173;true;10;false;62;58;comment
174;true;10;false;1015;59;comment
175;true;10;false;65;59;comment
176;true;10;false;42;58;comment
177;true;10;false;48;60;comment
178;true;10;false;48;61;comment
179;true;10;false;1054;60;comment
180;true;10;false;1061;62;comment
181;true;10;false;48;62;comment
182;true;10;false;13;60;comment
183;true;10;false;1055;60;comment
184;true;10;false;62;61;comment
185;true;10;false;15;60;comment
186;true;10;false;1015;60;comment
187;true;10;false;82;61;comment
188;true;10;false;1032;61;comment
189;true;10;false;1054;61;comment
190;true;10;false;81;60;comment
191;true;10;false;1059;60;comment
192;true;10;false;61;60;comment
193;true;10;false;1061;60;comment
194;true;10;false;62;61;comment
195;true;10;false;1055;61;comment
196;true;10;false;1061;63;comment
197;true;10;false;48;64;comment
198;true;10;false;1055;64;comment
199;true;10;false;1059;64;comment
200;true;10;false;69;64;comment
201;true;10;false;49;64;comment
202;true;10;false;13;64;comment
203;true;10;false;48;63;comment
204;true;10;false;1058;64;comment
205;true;10;false;66;64;comment
206;true;10;false;65;64;comment
207;true;10;false;1061;64;comment
208;true;10;false;1060;64;comment
209;true;10;false;48;65;comment
210;true;10;false;1061;65;comment
211;true;10;false;48;66;comment
212;true;10;false;66;66;comment
213;true;10;false;48;67;comment
214;true;10;false;1054;65;comment
215;true;10;false;1055;66;comment
216;true;10;false;1031;67;comment
217;true;10;false;1051;65;comment
218;true;10;false;65;67;comment
219;true;10;false;1058;65;comment
220;true;10;false;1052;65;comment
221;true;10;false;56;65;comment
222;true;10;false;1061;66;comment
223;true;10;false;1055;65;comment
224;true;10;false;42;65;comment
225;true;10;false;13;65;comment
226;true;10;false;49;65;comment
227;true;10;false;62;65;comment
228;true;10;false;69;65;comment
229;true;10;false;65;65;comment
230;true;10;false;15;66;comment
231;true;10;false;1062;65;comment
232;true;10;false;48;69;comment
233;true;10;false;1031;69;comment
234;true;10;false;48;68;comment
235;true;10;false;1062;69;comment
236;true;10;false;48;70;comment
237;true;10;false;48;71;comment
238;true;10;false;13;70;comment
239;true;10;false;1055;70;comment
240;true;10;false;1054;70;comment
241;true;10;false;53;70;comment
242;true;10;false;69;70;comment
243;true;10;false;1032;70;comment
244;true;10;false;1053;70;comment
245;true;10;false;1058;70;comment
246;true;10;false;53;72;comment
247;true;10;false;1031;72;comment
248;true;10;false;1061;72;comment
249;true;10;false;48;72;comment
250;true;10;false;48;73;comment
251;true;10;false;48;74;comment
252;true;10;false;1051;72;comment
253;true;10;false;13;72;comment
254;true;10;false;49;72;comment
255;true;10;false;1062;72;comment
256;true;10;false;1054;72;comment
257;true;10;false;53;74;comment
258;true;10;false;1015;72;comment
259;true;10;false;1058;72;comment
260;true;10;false;1059;72;comment
261;true;10;false;48;75;comment
262;true;10;false;48;76;comment
263;true;10;false;48;77;comment
264;true;10;false;1058;75;comment
265;true;10;false;13;75;comment
266;true;10;false;1061;77;comment
267;true;10;false;1029;75;comment
268;true;10;false;1054;75;comment
269;true;10;false;49;75;comment
270;true;10;false;1058;75;comment
271;true;10;false;1061;75;comment
272;true;10;false;1055;75;comment
273;true;10;false;1059;75;comment
274;true;10;false;48;78;comment
275;true;10;false;42;75;comment
276;true;10;false;69;75;comment
277;true;10;false;1053;75;comment
278;true;10;false;58;75;comment
279;true;10;false;1057;75;comment
280;true;10;false;15;75;comment
281;true;10;false;65;75;comment
282;true;10;false;81;75;comment
283;true;10;false;1064;75;comment
284;true;10;false;1062;76;comment
285;true;10;false;1031;75;comment
286;true;10;false;1051;75;comment
287;true;10;false;62;75;comment
288;true;10;false;1061;79;comment
289;true;10;false;48;80;comment
290;true;10;false;48;79;comment
291;true;10;false;1061;80;comment
292;true;10;false;48;81;comment
293;true;10;false;81;80;comment
294;true;10;false;1058;80;comment
295;true;10;false;1062;80;comment
296;true;10;false;49;80;comment
297;true;10;false;1054;79;comment
298;true;10;false;58;79;comment
299;true;10;false;87;80;comment
300;true;10;false;1060;80;comment
301;true;10;false;1054;80;comment
302;true;10;false;1055;80;comment
303;true;10;false;48;82;comment
304;true;10;false;48;83;comment
305;true;10;false;1061;83;comment
306;true;10;false;13;82;comment
307;true;10;false;69;82;comment
308;true;10;false;1057;82;comment
309;true;10;false;1015;82;comment
310;true;10;false;1054;82;comment
311;true;10;false;61;82;comment
312;true;10;false;49;82;comment
313;true;10;false;66;82;comment
314;true;10;false;1055;82;comment
315;true;10;false;15;82;comment
316;true;10;false;1031;82;comment
317;true;10;false;1051;82;comment
318;true;10;false;1059;82;comment
319;true;10;false;1058;82;comment
320;true;10;false;1062;82;comment
321;true;10;false;1052;82;comment
322;true;10;false;42;82;comment
323;true;10;false;1054;83;comment
324;true;10;false;1007;82;comment
325;true;10;false;62;82;comment
326;true;10;false;48;84;comment
327;true;10;false;1054;84;comment
328;true;10;false;1061;84;comment
329;true;10;false;1058;84;comment
330;true;10;false;49;84;comment
331;true;10;false;62;84;comment
332;true;10;false;1059;84;comment
333;true;10;false;48;85;comment
334;true;10;false;48;86;comment
335;true;10;false;13;85;comment
336;true;10;false;1031;85;comment
337;true;10;false;48;86;comment
338;true;10;false;65;85;comment
339;true;10;false;1054;87;comment
340;true;10;false;1061;87;comment
341;true;10;false;61;85;comment
342;true;10;false;1054;85;comment
343;true;10;false;1055;85;comment
344;true;10;false;1057;85;comment
345;true;10;false;48;87;comment
346;true;10;false;1054;86;comment
347;true;10;false;69;85;comment
348;true;10;false;1059;87;comment
349;true;10;false;1062;87;comment
350;true;10;false;1058;85;comment
351;true;10;false;49;85;comment
352;true;10;false;48;89;comment
353;true;10;false;1058;89;comment
354;true;10;false;48;90;comment
355;true;10;false;1058;90;comment
356;true;10;false;13;90;comment
357;true;10;false;48;91;comment
358;true;10;false;1055;89;comment
359;true;10;false;49;89;comment
360;true;10;false;1060;89;comment
361;true;10;false;48;92;comment
362;true;10;false;1054;91;comment
363;true;10;false;42;89;comment
364;true;10;false;1059;90;comment
365;true;10;false;1031;89;comment
366;true;10;false;1061;90;comment
367;true;10;false;1062;89;comment
368;true;10;false;69;89;comment
369;true;10;false;82;89;comment
370;true;10;false;48;93;comment
371;true;10;false;48;94;comment
372;true;10;false;1051;93;comment
373;true;10;false;1031;93;comment
374;true;10;false;1058;93;comment
375;true;10;false;48;95;comment
376;true;10;false;62;93;comment
377;true;10;false;48;96;comment
378;true;10;false;48;97;comment
379;true;10;false;13;93;comment
380;true;10;false;1061;93;comment
381;true;10;false;66;93;comment
382;true;10;false;15;94;comment
383;true;10;false;58;93;comment
384;true;10;false;1054;93;comment
385;true;10;false;1061;98;comment
386;true;10;false;49;93;comment
387;true;10;false;1032;93;comment
388;true;10;false;1055;93;comment
389;true;10;false;1061;95;comment
390;true;10;false;1062;93;comment
391;true;10;false;1061;97;comment
392;true;10;false;32;93;comment
393;true;10;false;86;93;comment
394;true;10;false;1059;93;comment
395;true;10;false;1057;93;comment
396;true;10;false;48;99;comment
397;true;10;false;1060;93;comment
398;true;10;false;61;93;comment
399;true;10;false;1055;99;comment
400;true;10;false;15;93;comment
401;true;10;false;1061;94;comment
402;true;10;false;49;97;comment
403;true;10;false;1062;97;comment
404;true;10;false;69;97;comment
405;true;10;false;48;100;comment
406;true;10;false;65;100;comment
407;true;10;false;1061;100;comment
408;true;10;false;48;101;comment
409;true;10;false;49;100;comment
410;true;10;false;1054;100;comment
411;true;10;false;1055;100;comment
412;true;10;false;48;102;comment
413;true;10;false;48;103;comment
414;true;10;false;13;102;comment
415;true;10;false;1031;102;comment
416;true;10;false;82;102;comment
417;true;10;false;1060;102;comment
418;true;10;false;1058;102;comment
419;true;10;false;1057;102;comment
420;true;10;false;62;102;comment
421;true;10;false;1054;102;comment
422;true;10;false;1055;102;comment
423;true;10;false;1004;102;comment
424;true;10;false;82;102;comment
425;true;10;false;65;102;comment
426;true;10;false;47;102;comment
427;true;10;false;61;102;comment
428;true;10;false;48;104;comment
429;true;10;false;48;105;comment
430;true;10;false;1061;106;comment
431;true;10;false;1058;104;comment
432;true;10;false;1062;104;comment
433;true;10;false;48;106;comment
434;true;10;false;1054;104;comment
435;true;10;false;13;106;comment
436;true;10;false;13;104;comment
437;true;10;false;1061;104;comment
438;true;10;false;61;104;comment
439;true;10;false;1061;105;comment
440;true;10;false;69;104;comment
441;true;10;false;1054;106;comment
442;true;10;false;1059;106;comment
443;true;10;false;65;104;comment
444;true;10;false;49;104;comment
445;true;10;false;1055;106;comment
446;true;10;false;15;106;comment
447;true;10;false;48;107;comment
448;true;10;false;48;108;comment
449;true;10;false;1061;108;comment
450;true;10;false;1031;108;comment
451;true;10;false;66;108;comment
452;true;10;false;1062;108;comment
453;true;10;false;56;108;comment
454;true;10;false;13;108;comment
455;true;10;false;1058;108;comment
456;true;10;false;1054;108;comment
457;true;10;false;1006;108;comment
458;true;10;false;1060;108;comment
459;true;10;false;82;108;comment
460;true;10;false;69;108;comment
461;true;10;false;88;108;comment
462;true;10;false;1055;108;comment
463;true;10;false;61;108;comment
464;true;10;false;81;108;comment
465;true;10;false;49;108;comment
466;true;10;false;48;109;comment
467;true;10;false;65;109;comment
468;true;10;false;1061;109;comment
469;true;10;false;61;109;comment
470;true;10;false;1054;109;comment
471;true;10;false;1059;109;comment
472;true;10;false;48;111;comment
473;true;10;false;1031;111;comment
474;true;10;false;1061;111;comment
475;true;10;false;48;112;comment
476;true;10;false;1061;112;comment
477;true;10;false;48;110;comment
478;true;10;false;82;110;comment
479;true;10;false;82;111;comment
480;true;10;false;48;113;comment
481;true;10;false;13;111;comment
482;true;10;false;1015;111;comment
483;true;10;false;1015;110;comment
484;true;10;false;48;114;comment
485;true;10;false;1061;115;comment
486;true;10;false;48;116;comment
487;true;10;false;48;117;comment
488;true;10;false;1053;112;comment
489;true;10;false;1055;111;comment
490;true;10;false;1054;110;comment
491;true;10;false;1054;111;comment
492;true;10;false;1055;110;comment
493;true;10;false;49;110;comment
494;true;10;false;1053;110;comment
495;true;10;false;86;111;comment
496;true;10;false;1059;111;comment
497;true;10;false;1059;110;comment
498;true;10;false;58;110;comment
499;true;10;false;58;111;comment
500;true;10;false;1060;111;comment
501;true;10;false;1060;110;comment
502;true;10;false;42;110;comment
503;true;10;false;42;111;comment
504;true;10;false;32;110;comment
505;true;10;false;32;111;comment
