id;id_tg_user;first_name;registration_date;user_role;is_admin;score;is_blocked;chat_id;is_delete;date_1;date_2;long_1;string_1;boolean_1
1;66904;Thora;2022-11-22T15:34:32;Frozen CSS;true;55180;false;33775;true;2022-11-23T04:36:57;2022-11-23T04:19:43;81437;Practical Home bleeding-edge;true
2;56393;Estel;2022-11-23T07:51:57;Refined;true;3243;false;2796;false;2022-11-22T23:33:04;2022-11-22T16:43:01;5120;RAM;true
3;46936;Mekhi;2022-11-23T01:17:26;invoice Markets Avon;true;70920;true;81879;false;2022-11-23T11:03:02;2022-11-22T22:37:41;83699;protocol Borders Cotton;false
4;89861;Deven;2022-11-22T13:25:15;Center Specialist dot-com;false;31514;true;3100;true;2022-11-22T20:50:37;2022-11-23T04:40:31;18102;evolve;false
5;11974;Percy;2022-11-23T01:51:03;Credit Berkshire;true;82288;false;22883;true;2022-11-23T02:23:12;2022-11-23T10:33:31;51540;Money;false
6;65121;Roselyn;2022-11-22T18:34:24;world-class networks;true;87670;true;61593;false;2022-11-22T21:42:43;2022-11-23T10:06:47;87436;Buckinghamshire;false
7;58818;Ron;2022-11-22T14:25:26;Cotton;false;10035;true;94654;false;2022-11-23T00:07:27;2022-11-23T02:28:52;74075;Pennsylvania;true
8;17238;Liana;2022-11-23T10:46:05;Borders syndicate application;true;74847;false;79321;true;2022-11-22T19:25:40;2022-11-22T19:49:21;89519;Awesome Home strategic;false
9;78196;Ladarius;2022-11-22T16:32:40;Small;false;1487;true;81521;false;2022-11-23T11:56:54;2022-11-22T17:29:56;98513;incentivize Zambian compelling;false
10;78867;Margaretta;2022-11-23T07:35:57;Soft;false;31666;false;68448;false;2022-11-22T19:29:50;2022-11-22T17:37:07;59756;invoice bluetooth Oregon;false
