id;name;link;count_subscribers;count_views;is_moderate;start_date;last_pay_date;end_public_date;manager_id;is_pay
1;SEX/LIFE научный блог о сексе;https://t.me/keks_life;100;100;true;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;1;false
2;PornHub Videos;https://t.me/p0rnhub_videos;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;1;false
3;Запрещёнка/Двач;https://t.me/ru2ch_ban;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
4;Девочки твоего двора;https://t.me/hellaway;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
5;Real Amateurs;https://t.me/RealAmateurs;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
6;Porno Gif 🍓🔞;https://t.me/gif_wow;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
7;Cum Sluts Facial & Creampie;https://t.me/cumfetish;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
8;🔞 SexWife Russia;https://t.me/sexwiferussia;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
9;BIG ASS MILF 🔞;https://t.me/bigassmilf;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
10;Oasis69 🔞;https://t.me/Oasis69;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
11;Каждый дрочит на что хочет 🔞;https://t.me/kdn4h;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
12;🔞 Куколд | Cuckold;https://t.me/cuckoldrussia;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
13;Библия Эскортницы | Исповедь Содержанки;https://t.me/Bibliaescortnitsi;100;100;true;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
14;Пошлые истории;https://t.me/trivialstoryfromlife;100;100;true;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
15;Алина Бот;https://t.me/Alina_girl1_bot;100;100;false;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
16;Ножки юных | Young feet;https://t.me/youngfeet;100;100;true;2022-11-22T23:20:39;2023-08-15T22:23:38;2053-08-15T22:23:38;null;false
